nombre,precio,cuotas,imagen,categoria,descripcion,caracteristicas,modo_uso,calificacion,num_calificaciones
Base cussion waterproof Jojo Diary 2 tonos,3900,1,productos/base-cussion-waterproof-jojo-d.jpg,maquillaje,Base cussion waterproof Jojo Diary 2 tonos - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Base cussion waterproof Jojo Diary 2 tonos,3900,1,productos/base-cussion-waterproof-jojo-d.jpg,maquillaje,Base cussion waterproof Jojo Diary 2 tonos - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Base cussion efecto matte Jojo Diary,4500,1,productos/base-cussion-efecto-matte-jojo.jpg,maquillaje,Base cussion efecto matte Jojo Diary - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Base cussion con esponja osito Jojo Diary,4500,1,productos/base-cussion-con-esponja-osito.jpg,maquillaje,Base cussion con esponja osito Jojo Diary - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Cajita de papel absorbente de grasa uso facial Jojo Diary,1800,1,productos/cajita-de-papel-absorbente-de-.jpg,maquillaje,Cajita de papel absorbente de grasa uso facial Jojo Diary - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Base cussion 2 tonos efecto matte waterproof Jojo Diary,4500,1,productos/base-cussion-2-tonos-efecto-ma.jpg,maquillaje,Base cussion 2 tonos efecto matte waterproof Jojo Diary - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Base cremosa en pote Jojo Diary,5200,1,productos/base-cremosa-en-pote-jojo-diar.jpg,maquillaje,Base cremosa en pote Jojo Diary - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Rubor en cussion Jojo Diary,2300,1,productos/rubor-en-cussion-jojo-diary.jpg,maquillaje,Rubor en cussion Jojo Diary - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Base cussion + paleta corrector Jojo Diary,5500,1,productos/base-cussion-paleta-corrector-.jpg,maquillaje,Base cussion + paleta corrector Jojo Diary - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Polvo compacto matte Jojo Diary,2800,1,productos/polvo-compacto-matte-jojo-diar.jpg,maquillaje,Polvo compacto matte Jojo Diary - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Polvo compacto matte Jojo Diary,2800,1,productos/polvo-compacto-matte-jojo-diar.jpg,maquillaje,Polvo compacto matte Jojo Diary - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Polvo compacto sellante 3 tonos Jojo Diary,3300,1,productos/polvo-compacto-sellante-3-tono.jpg,maquillaje,Polvo compacto sellante 3 tonos Jojo Diary - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Lips gloss solido en pomo Novo #6313,1900,1,productos/lips-gloss-solido-en-pomo-novo.jpg,maquillaje,Lips gloss solido en pomo Novo #6313 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Balsamo hidratante de labios con fragancia Novo #6286,1600,1,productos/balsamo-hidratante-de-labios-c.jpg,maquillaje,Balsamo hidratante de labios con fragancia Novo #6286 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Sombra glitter brillante con aplicador Novo #6344,1700,1,productos/sombra-glitter-brillante-con-a.jpg,maquillaje,Sombra glitter brillante con aplicador Novo #6344 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Serum facial de niacinamida 100ml Novo #6296,4700,1,productos/serum-facial-de-niacinamida-10.jpg,maquillaje,Serum facial de niacinamida 100ml Novo #6296 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Paleta contorno+iluminador Novo #6414,2900,1,productos/paleta-contornoiluminador-novo.jpg,maquillaje,Paleta contorno+iluminador Novo #6414 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Primer en crema con protector solar Novo #6285,3200,1,productos/primer-en-crema-con-protector-.jpg,maquillaje,Primer en crema con protector solar Novo #6285 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Base fluida pomo ideal para piel seca Novo #6315,4000,1,productos/base-fluida-pomo-ideal-para-pi.jpg,maquillaje,Base fluida pomo ideal para piel seca Novo #6315 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Eye essence serum para ojeras anti-arruga Novo #6302,3000,1,productos/eye-essence-serum-para-ojeras-.jpg,maquillaje,Eye essence serum para ojeras anti-arruga Novo #6302 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Delineador en fibra punta ultra fina waterproof Novo #6050,2000,1,productos/delineador-en-fibra-punta-ultr.jpg,maquillaje,Delineador en fibra punta ultra fina waterproof Novo #6050 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Base cussion resistente tapa manchas Novo #5589,4500,1,productos/base-cussion-resistente-tapa-m.jpg,maquillaje,Base cussion resistente tapa manchas Novo #5589 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Polvo traslucido Novo #6373,3200,1,productos/polvo-traslucido-novo-6373.jpg,maquillaje,Polvo traslucido Novo #6373 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Flower lips gloss Novo varios colores #5794,1900,1,productos/flower-lips-gloss-novo-varios-.jpg,maquillaje,Flower lips gloss Novo varios colores #5794 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Corrector crema en pomo 3 colores Novo #6272,2700,1,productos/corrector-crema-en-pomo-3-colo.jpg,maquillaje,Corrector crema en pomo 3 colores Novo #6272 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Iluminador ultra brillante Novo #6319,2700,1,productos/iluminador-ultra-brillante-nov.jpg,maquillaje,Iluminador ultra brillante Novo #6319 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Base cussion Novo nutritivo #6261,4800,1,productos/base-cussion-novo-nutritivo-62.jpg,maquillaje,Base cussion Novo nutritivo #6261 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Hidratante de labios en barra Novo #6338,1600,1,productos/hidratante-de-labios-en-barra-.jpg,maquillaje,Hidratante de labios en barra Novo #6338 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Desodorante roll on con fragancia Novo #6168,2400,1,productos/desodorante-roll-on-con-fragan.jpg,maquillaje,Desodorante roll on con fragancia Novo #6168 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Polvo compacto sellante Novo #5679,5000,1,productos/polvo-compacto-sellante-novo-5.jpg,maquillaje,Polvo compacto sellante Novo #5679 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Polvo traslucido unicorn Novo #5386,2500,1,productos/polvo-traslucido-unicorn-novo-.jpg,maquillaje,Polvo traslucido unicorn Novo #5386 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Lip stick matte Novo intransferible #5762,2200,1,productos/lip-stick-matte-novo-intransfe.jpg,maquillaje,Lip stick matte Novo intransferible #5762 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Base cremosa en pomo Novo #6245,4500,1,productos/base-cremosa-en-pomo-novo-6245.jpg,maquillaje,Base cremosa en pomo Novo #6245 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Desodorante solido con fragancias Novo #6097,3000,1,productos/desodorante-solido-con-fraganc.jpg,maquillaje,Desodorante solido con fragancias Novo #6097 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Base liquida velvet Novo #6148,5000,1,productos/base-liquida-velvet-novo-6148.jpg,maquillaje,Base liquida velvet Novo #6148 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Paleta corrector + iluminador Novo #6196,3000,1,productos/paleta-corrector-iluminador-no.jpg,maquillaje,Paleta corrector + iluminador Novo #6196 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Lapiz doble iluminador + contorno Novo #5494,3000,1,productos/lapiz-doble-iluminador-contorn.jpg,maquillaje,Lapiz doble iluminador + contorno Novo #5494 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Paleta de sombra 9 tonos Novo #5816,4800,1,productos/paleta-de-sombra-9-tonos-novo-.jpg,maquillaje,Paleta de sombra 9 tonos Novo #5816 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Rubor degrade paleta Novo #6103,3100,1,productos/rubor-degrade-paleta-novo-6103.jpg,maquillaje,Rubor degrade paleta Novo #6103 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Base crema en pomo Novo color natural #6048,5000,1,productos/base-crema-en-pomo-novo-color-.jpg,maquillaje,Base crema en pomo Novo color natural #6048 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Delineador ultrafino waterproof Novo #5950,2200,1,productos/delineador-ultrafino-waterproo.jpg,maquillaje,Delineador ultrafino waterproof Novo #5950 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Paleta de sombras 4 tonos Novo #5330,2900,1,productos/paleta-de-sombras-4-tonos-novo.jpg,maquillaje,Paleta de sombras 4 tonos Novo #5330 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Delineador liquido ultra fino waterproof Novo #5895,1600,1,productos/delineador-liquido-ultra-fino-.jpg,maquillaje,Delineador liquido ultra fino waterproof Novo #5895 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Paleta de sombras Novo #5462,4500,1,productos/paleta-de-sombras-novo-5462.jpg,maquillaje,Paleta de sombras Novo #5462 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Rimmel cepillo fino levanta pestañas Novo #6067,2200,1,productos/rimmel-cepillo-fino-levanta-pe.jpg,maquillaje,Rimmel cepillo fino levanta pestañas Novo #6067 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Rubor moño con esponjita Novo #6210,2600,1,productos/rubor-moo-con-esponjita-novo-6.jpg,maquillaje,Rubor moño con esponjita Novo #6210 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Labial en barra matte larga duracion Novo #6208,1900,1,productos/labial-en-barra-matte-larga-du.jpg,maquillaje,Labial en barra matte larga duracion Novo #6208 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Paleta corrector con cepillo Novo #6141,2400,1,productos/paleta-corrector-con-cepillo-n.jpg,maquillaje,Paleta corrector con cepillo Novo #6141 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Rimmel ultra fino waterproof Novo #6173,1500,1,productos/rimmel-ultra-fino-waterproof-n.jpg,maquillaje,Rimmel ultra fino waterproof Novo #6173 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Labial liquido matte Novo #5411,2000,1,productos/labial-liquido-matte-novo-5411.jpg,maquillaje,Labial liquido matte Novo #5411 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Labial liquido matte velvet Novo #8099,1900,1,productos/labial-liquido-matte-velvet-no.jpg,maquillaje,Labial liquido matte velvet Novo #8099 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Crema de manos Novo #6049,3300,1,productos/crema-de-manos-novo-6049.jpg,maquillaje,Crema de manos Novo #6049 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Rubor cremoso en pote Novo #5885,2500,1,productos/rubor-cremoso-en-pote-novo-588.jpg,maquillaje,Rubor cremoso en pote Novo #5885 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Balsamo labial hidratante nocturna Novo #6069,2300,1,productos/balsamo-labial-hidratante-noct.jpg,maquillaje,Balsamo labial hidratante nocturna Novo #6069 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Paleta iluminador ultrabrillante Novo #5833,3700,1,productos/paleta-iluminador-ultrabrillan.jpg,maquillaje,Paleta iluminador ultrabrillante Novo #5833 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Labial en barra matte waterproof Novo #5979,2300,1,productos/labial-en-barra-matte-waterpro.jpg,maquillaje,Labial en barra matte waterproof Novo #5979 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Rubor en paleta Novo #5916,2100,1,productos/rubor-en-paleta-novo-5916.jpg,maquillaje,Rubor en paleta Novo #5916 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Lip gloss matte Novo #5882,1900,1,productos/lip-gloss-matte-novo-5882.jpg,maquillaje,Lip gloss matte Novo #5882 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Sombra individual Novo #5988,1700,1,productos/sombra-individual-novo-5988.jpg,maquillaje,Sombra individual Novo #5988 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Novo labial gloss juice lips #6095,2000,1,productos/novo-labial-gloss-juice-lips-6.jpg,maquillaje,Novo labial gloss juice lips #6095 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Novo balsamo labial hidratante frutal #5414,2500,1,productos/novo-balsamo-labial-hidratante.jpg,maquillaje,Novo balsamo labial hidratante frutal #5414 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Novo base cussion + polvo compacto 2en1 #6090,7000,1,productos/novo-base-cussion-polvo-compac.jpg,maquillaje,Novo base cussion + polvo compacto 2en1 #6090 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Novo mascara de pestañas doble cepillos #6071,2900,1,productos/novo-mascara-de-pestaas-doble-.jpg,maquillaje,Novo mascara de pestañas doble cepillos #6071 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Novo rubor con esponjita #6098,2300,1,productos/novo-rubor-con-esponjita-6098.jpg,maquillaje,Novo rubor con esponjita #6098 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Novo paleta de sombra 4 colores #5815,3400,1,productos/novo-paleta-de-sombra-4-colore.jpg,maquillaje,Novo paleta de sombra 4 colores #5815 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Novo polvo compacto #5935,3400,1,productos/novo-polvo-compacto-5935.jpg,maquillaje,Novo polvo compacto #5935 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Novo Paleta maquillaje + rubor #6089,4200,1,productos/novo-paleta-maquillaje-rubor-6.jpg,maquillaje,Novo Paleta maquillaje + rubor #6089 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Novo lips stick Gloss #5989,3000,1,productos/novo-lips-stick-gloss-5989.jpg,maquillaje,Novo lips stick Gloss #5989 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0